iter	Passed	Remaining
848	8057	1433
849	8066	1423
850	8075	1413
851	8084	1404
852	8094	1394
853	8104	1385
854	8113	1376
855	8122	1366
856	8131	1356
857	8140	1347
858	8149	1337
859	8159	1328
860	8167	1318
861	8176	1309
862	8185	1299
863	8195	1290
864	8207	1280
865	8218	1271
866	8228	1262
867	8237	1252
868	8246	1243
869	8256	1233
870	8265	1224
871	8274	1214
872	8284	1205
873	8293	1195
874	8302	1186
875	8311	1176
876	8320	1166
877	8329	1157
878	8339	1147
879	8348	1138
880	8357	1128
881	8366	1119
882	8375	1109
883	8384	1100
884	8393	1090
885	8402	1081
886	8411	1071
887	8420	1062
888	8429	1052
889	8438	1042
890	8446	1033
891	8456	1023
892	8465	1014
893	8474	1004
894	8484	995
895	8492	985
896	8501	976
897	8510	966
898	8520	957
899	8528	947
900	8537	938
901	8546	928
902	8555	919
903	8564	909
904	8573	899
905	8582	890
906	8591	880
907	8601	871
908	8610	861
909	8619	852
910	8628	842
911	8637	833
912	8645	823
913	8655	814
914	8663	804
915	8673	795
916	8682	785
917	8691	776
918	8700	766
919	8710	757
920	8719	747
921	8729	738
922	8737	728
923	8747	719
924	8756	709
925	8764	700
926	8773	690
927	8782	681
928	8791	671
929	8800	662
930	8809	652
931	8819	643
932	8827	633
933	8837	624
934	8845	614
935	8854	605
936	8863	595
937	8872	586
938	8882	576
939	8890	567
940	8900	558
941	8908	548
942	8918	539
943	8926	529
944	8935	520
945	8944	510
946	8953	501
947	8963	491
948	8973	482
949	8981	472
950	8990	463
951	8999	453
952	9008	444
953	9018	434
954	9027	425
955	9036	415
956	9045	406
957	9054	396
958	9063	387
959	9072	378
960	9081	368
961	9090	359
962	9099	349
963	9108	340
964	9117	330
965	9126	321
966	9135	311
967	9143	302
968	9153	292
969	9161	283
970	9171	273
971	9180	264
972	9189	255
973	9198	245
974	9207	236
975	9216	226
976	9225	217
977	9234	207
978	9242	198
979	9252	188
980	9261	179
981	9270	169
982	9279	160
983	9288	151
984	9297	141
985	9306	132
986	9315	122
987	9324	113
988	9334	103
989	9343	94
990	9352	84
991	9361	75
992	9370	66
993	9379	56
994	9389	47
995	9398	37
996	9407	28
997	9416	18
998	9426	9
999	9434	0
